SUBURB,POSTCODE,PSTATE,CREATED,CREATED_BY,UPDATED,UPDATED_BY
NERANWOOD,4213,QLD,,,,
SPRINGBROOK,4213,QLD,,,,
TALLAI,4213,QLD,,,,
WORONGARY,4213,QLD,,,,
ARUNDEL,4214,QLD,,,,
ARUNDEL BC,4214,QLD,,,,
ARUNDEL DC,4214,QLD,,,,
ASHMORE,4214,QLD,,,,
ERNEST,4214,QLD,,,,
MOLENDINAR,4214,QLD,,,,
PARKWOOD,4214,QLD,,,,
CHIRN PARK,4215,QLD,,,,
LABRADOR,4215,QLD,,,,
SOUTHPORT,4215,QLD,,,,
ANGLERS PARADISE,4216,QLD,,,,
BIGGERA WATERS,4216,QLD,,,,
COOMBABAH,4216,QLD,,,,
HOLLYWELL,4216,QLD,,,,
PARADISE POINT,4216,QLD,,,,
PARADISE POINT KEYS,4216,QLD,,,,
RUNAWAY BAY,4216,QLD,,,,
SOVEREIGN ISLANDS,4216,QLD,,,,
BENOWA,4217,QLD,,,,
BUNDALL,4217,QLD,,,,
CHEVRON ISLAND,4217,QLD,,,,
ISLE OF CAPRI,4217,QLD,,,,
MAIN BEACH,4217,QLD,,,,
PARADISE ISLAND,4217,QLD,,,,
PARADISE WATERS,4217,QLD,,,,
SORRENTO,4217,QLD,,,,
SURFERS PARADISE,4217,QLD,,,,
THE SPIT,4217,QLD,,,,
BROADBEACH,4218,QLD,,,,
BROADBEACH WATERS,4218,QLD,,,,
CYPRESS GARDENS,4218,QLD,,,,
FLORIDA GARDENS,4218,QLD,,,,
MERMAID BEACH,4218,QLD,,,,
MERMAID WATERS,4218,QLD,,,,
MIAMI KEYS,4218,QLD,,,,
NOBBY BEACH,4218,QLD,,,,
PACIFIC FAIR,4218,QLD,,,,
Q SUPERCENTRE,4218,QLD,,,,
RIO VISTA,4218,QLD,,,,
WEST BURLEIGH,4219,QLD,,,,
ANDREWS,4220,QLD,,,,
BURLEIGH HEADS,4220,QLD,,,,
BURLEIGH TOWN,4220,QLD,,,,
BURLEIGH WATERS,4220,QLD,,,,
MIAMI,4220,QLD,,,,
ELANORA,4221,QLD,,,,
PALM BEACH,4221,QLD,,,,
CURRUMBIN,4223,QLD,,,,
CURRUMBIN DC,4223,QLD,,,,
CURRUMBIN VALLEY,4223,QLD,,,,
CURRUMBIN WATERS,4223,QLD,,,,
TUGUN,4224,QLD,,,,
BILINGA,4225,QLD,,,,
COOLANGATTA,4225,QLD,,,,
GREENMOUNT,4225,QLD,,,,
KIRRA,4225,QLD,,,,
RAINBOW BAY,4225,QLD,,,,
CLEAR ISLAND WATERS,4226,QLD,,,,
KERRYDALE,4226,QLD,,,,
MERRIMAC,4226,QLD,,,,
ROBINA,4226,QLD,,,,
STEPHENS,4227,QLD,,,,
REEDY CREEK,4228,QLD,,,,
TALLEBUDGERA,4228,QLD,,,,
TALLEBUDGERA VALLEY,4228,QLD,,,,
BOND UNIVERSITY,4229,QLD,,,,
ROBINA TOWN CENTRE,4230,QLD,,,,
TAMBORINE,4270,QLD,,,,
TAMBORINE VILLAGE,4270,QLD,,,,
EAGLE HEIGHTS,4271,QLD,,,,
MOUNT TAMBORINE,4272,QLD,,,,
NORTH TAMBORINE,4272,QLD,,,,
CANUNGRA,4275,QLD,,,,
LAMINGTON NATIONAL PARK,4275,QLD,,,,
WITHEREN,4275,QLD,,,,
WONGLEPONG,4275,QLD,,,,
JIMBOOMBA,4280,QLD,,,,
MACLEAN,4280,QLD,,,,
BEAUDESERT,4285,QLD,,,,
CEDAR GROVE,4285,QLD,,,,
CEDAR VALE,4285,QLD,,,,
KOORALBYN,4285,QLD,,,,
PALEN CREEK,4287,QLD,,,,
RATHDOWNEY,4287,QLD,,,,
BELLBIRD PARK,4300,QLD,,,,
CAMIRA,4300,QLD,,,,
CAROLE PARK,4300,QLD,,,,
GAILES,4300,QLD,,,,
GOODNA,4300,QLD,,,,
OPOSSUM CREEK,4300,QLD,,,,
SPRINGFIELD,4300,QLD,,,,
SPRINGFIELD LAKES,4300,QLD,,,,
COLLINGWOOD PARK,4301,QLD,,,,
REDBANK,4301,QLD,,,,
REDBANK PLAINS,4301,QLD,,,,
DINMORE,4303,QLD,,,,
NEW CHUM,4303,QLD,,,,
RIVERVIEW,4303,QLD,,,,
BLACKSTONE,4304,QLD,,,,
BOOVAL,4304,QLD,,,,
BUNDAMBA,4304,QLD,,,,
EBBW VALE,4304,QLD,,,,
NORTH BOOVAL,4304,QLD,,,,
SILKSTONE,4304,QLD,,,,
BASIN POCKET,4305,QLD,,,,
BRASSALL,4305,QLD,,,,
BREMER,4305,QLD,,,,
CHURCHILL,4305,QLD,,,,
COALFALLS,4305,QLD,,,,
EAST IPSWICH,4305,QLD,,,,
EASTERN HEIGHTS,4305,QLD,,,,
FLINDERS VIEW,4305,QLD,,,,
IPSWICH,4305,QLD,,,,
LEICHHARDT,4305,QLD,,,,
LIMESTONE RIDGES,4305,QLD,,,,
MOORES POCKET,4305,QLD,,,,
NEWTOWN,4305,QLD,,,,
NORTH IPSWICH,4305,QLD,,,,
NORTH TIVOLI,4305,QLD,,,,
ONE MILE,4305,QLD,,,,
RACEVIEW,4305,QLD,,,,
RAYMONDS HILL,4305,QLD,,,,
SADLIERS CROSSING,4305,QLD,,,,
TIVOLI,4305,QLD,,,,
WEST IPSWICH,4305,QLD,,,,
WOODEND,4305,QLD,,,,
WULKURAKA,4305,QLD,,,,
YAMANTO,4305,QLD,,,,
AMBERLEY,4306,QLD,,,,
AVOCA VALE,4306,QLD,,,,
BANKS CREEK,4306,QLD,,,,
BARELLAN POINT,4306,QLD,,,,
BENARKIN,4306,QLD,,,,
BENARKIN NORTH,4306,QLD,,,,
BLACKBUTT,4306,QLD,,,,
BLACKBUTT NORTH,4306,QLD,,,,
BLACKBUTT SOUTH,4306,QLD,,,,
BLACKSOIL,4306,QLD,,,,
BLACKWALL,4306,QLD,,,,
BORALLON,4306,QLD,,,,
CHERRY CREEK,4306,QLD,,,,
CHUWAR,4306,QLD,,,,
COLINTON,4306,QLD,,,,
DEEBING HEIGHTS,4306,QLD,,,,
FAIRNEY VIEW,4306,QLD,,,,
FERNVALE,4306,QLD,,,,
GOOGA CREEK,4306,QLD,,,,
GOOLMAN,4306,QLD,,,,
HAIGSLEA,4306,QLD,,,,
HARLIN,4306,QLD,,,,
HOLTS HILL,4306,QLD,,,,
IRONBARK,4306,QLD,,,,
KARALEE,4306,QLD,,,,
KARANA DOWNS,4306,QLD,,,,
KHOLO,4306,QLD,,,,
LAKE MANCHESTER,4306,QLD,,,,
LINVILLE,4306,QLD,,,,
MONSILDALE,4306,QLD,,,,
MOORE,4306,QLD,,,,
MOUNT BINGA,4306,QLD,,,,
MOUNT CROSBY,4306,QLD,,,,
MOUNT STANLEY,4306,QLD,,,,
MUIRLEA,4306,QLD,,,,
NUKKU,4306,QLD,,,,
PEAK CROSSING,4306,QLD,,,,
PINE MOUNTAIN,4306,QLD,,,,
RIPLEY,4306,QLD,,,,
SOUTH RIPLEY,4306,QLD,,,,
TEELAH,4306,QLD,,,,
THAGOONA,4306,QLD,,,,
WALLOON,4306,QLD,,,,
WILLOWBANK,4306,QLD,,,,
HARRISVILLE,4307,QLD,,,,
ARATULA,4309,QLD,,,,
FRAZERVIEW,4309,QLD,,,,
KALBAR,4309,QLD,,,,
WASHPOOL,4309,QLD,,,,
BOONAH,4310,QLD,,,,
ROADVALE,4310,QLD,,,,
BUARABA SOUTH,4311,QLD,,,,
CHURCHABLE,4311,QLD,,,,
COOMINYA,4311,QLD,,,,
LOCKYER WATERS,4311,QLD,,,,
LOWOOD,4311,QLD,,,,
MINDEN,4311,QLD,,,,
PATRICK ESTATE,4311,QLD,,,,
WIVENHOE HILL,4311,QLD,,,,
BRYDEN,4312,QLD,,,,
CABOONBAH,4312,QLD,,,,
CROSSDALE,4312,QLD,,,,
ESK,4312,QLD,,,,
GLEN ESK,4312,QLD,,,,
MOOMBRA,4312,QLD,,,,
MOUNT BYRON,4312,QLD,,,,
REDBANK CREEK,4312,QLD,,,,
SOMERSET DAM,4312,QLD,,,,
BRAEMORE,4313,QLD,,,,
COOEEIMBARDI,4313,QLD,,,,
FULHAM,4313,QLD,,,,
LOWER CRESSBROOK,4313,QLD,,,,
OTTABA,4313,QLD,,,,
SCRUB CREEK,4313,QLD,,,,
TOOGOOLAWAH,4313,QLD,,,,
YIMBUN,4313,QLD,,,,
GRANDCHESTER,4340,QLD,,,,
LANEFIELD,4340,QLD,,,,
LOWER MOUNT WALKER,4340,QLD,,,,
MERRYVALE,4340,QLD,,,,
MOUNT WALKER WEST,4340,QLD,,,,
ROSEWOOD,4340,QLD,,,,
THE BLUFF,4340,QLD,,,,
KENSINGTON GROVE,4341,QLD,,,,
LAIDLEY,4341,QLD,,,,
LAIDLEY CREEK WEST,4341,QLD,,,,
LAIDLEY HEIGHTS,4341,QLD,,,,
LAIDLEY NORTH,4341,QLD,,,,
PLAINLAND,4341,QLD,,,,
TOWNSON,4341,QLD,,,,
FOREST HILL,4342,QLD,,,,
GLEN CAIRN,4342,QLD,,,,
GLENORE GROVE,4342,QLD,,,,
LYNFORD,4342,QLD,,,,
ADARE,4343,QLD,,,,
BLACK DUCK CREEK,4343,QLD,,,,
CAFFEY,4343,QLD,,,,
COLLEGE VIEW,4343,QLD,,,,
EAST HALDON,4343,QLD,,,,
FORDSDALE,4343,QLD,,,,
GATTON,4343,QLD,,,,
INGOLDSBY,4343,QLD,,,,
JUNCTION VIEW,4343,QLD,,,,
LAKE CLARENDON,4343,QLD,,,,
LAWES,4343,QLD,,,,
LEFTHAND BRANCH,4343,QLD,,,,
LOWER TENTHILL,4343,QLD,,,,
MORTON VALE,4343,QLD,,,,
MOUNT SYLVIA,4343,QLD,,,,
PLACID HILLS,4343,QLD,,,,
RINGWOOD,4343,QLD,,,,
ROCKSIDE,4343,QLD,,,,
ROPELEY,4343,QLD,,,,
SPRING CREEK,4343,QLD,,,,
UPPER TENTHILL,4343,QLD,,,,
VINEGAR HILL,4343,QLD,,,,
WOODBINE,4343,QLD,,,,
WOODLANDS,4343,QLD,,,,
CARPENDALE,4344,QLD,,,,
EGYPT,4344,QLD,,,,
FLAGSTONE CREEK,4344,QLD,,,,
HELIDON,4344,QLD,,,,
HELIDON SPA,4344,QLD,,,,
LILYDALE,4344,QLD,,,,
LOCKYER,4344,QLD,,,,
ROCKMOUNT,4344,QLD,,,,
SEVENTEEN MILE,4344,QLD,,,,
SILVER PINCH,4344,QLD,,,,
SILVER RIDGE,4344,QLD,,,,
STOCKYARD,4344,QLD,,,,
UPPER FLAGSTONE,4344,QLD,,,,
GATTON COLLEGE,4345,QLD,,,,
MARBURG,4346,QLD,,,,
GRANTHAM,4347,QLD,,,,
MA MA CREEK,4347,QLD,,,,
MOUNT WHITESTONE,4347,QLD,,,,
VERADILLA,4347,QLD,,,,
WINWILL,4347,QLD,,,,
ATHOL,4350,QLD,,,,
CENTENARY HEIGHTS,4350,QLD,,,,
CRANLEY,4350,QLD,,,,
DARLING HEIGHTS,4350,QLD,,,,
DRAYTON,4350,QLD,,,,
EAST TOOWOOMBA,4350,QLD,,,,
EASTLAKE,4350,QLD,,,,
FINNIE,4350,QLD,,,,
GLENVALE,4350,QLD,,,,
HARLAXTON,4350,QLD,,,,
HARRISTOWN,4350,QLD,,,,
KEARNEYS SPRING,4350,QLD,,,,
MIDDLE RIDGE,4350,QLD,,,,
MOUNT KYNOCH,4350,QLD,,,,
MOUNT LOFTY,4350,QLD,,,,
MOUNT RASCAL,4350,QLD,,,,
NEWTOWN,4350,QLD,,,,
NORTH TOOWOOMBA,4350,QLD,,,,
NORTHLANDS,4350,QLD,,,,
PICNIC POINT,4350,QLD,,,,
PRINCE HENRY HEIGHTS,4350,QLD,,,,
RANGEVILLE,4350,QLD,,,,
REDWOOD,4350,QLD,,,,
ROCKVILLE,4350,QLD,,,,
SOUTH TOOWOOMBA,4350,QLD,,,,
SOUTHTOWN,4350,QLD,,,,
TOOWOOMBA,4350,QLD,,,,
TOOWOOMBA CITY,4350,QLD,,,,
TOOWOOMBA EAST,4350,QLD,,,,
TOOWOOMBA SOUTH,4350,QLD,,,,
TOOWOOMBA WEST,4350,QLD,,,,
TOP CAMP,4350,QLD,,,,
WELLCAMP,4350,QLD,,,,
WESTBROOK,4350,QLD,,,,
WILSONTON,4350,QLD,,,,
AMIENS,4352,QLD,,,,
BALLARD,4352,QLD,,,,
BAPAUME,4352,QLD,,,,
BIRNAM,4352,QLD,,,,
BLANCHVIEW,4352,QLD,,,,
BRANCHVIEW,4352,QLD,,,,
CABARLAH,4352,QLD,,,,
CEMENT MILLS,4352,QLD,,,,
CONDAMINE PLAINS,4352,QLD,,,,
CUTELLA,4352,QLD,,,,
DERRYMORE,4352,QLD,,,,
DJUAN,4352,QLD,,,,
DOCTOR CREEK,4352,QLD,,,,
EVERGREEN,4352,QLD,,,,
FIFTEEN MILE,4352,QLD,,,,
GEHAM,4352,QLD,,,,
GORE,4352,QLD,,,,
GOWRIE LITTLE PLAIN,4352,QLD,,,,
GRAPE TREE,4352,QLD,,,,
GROOMSVILLE,4352,QLD,,,,
HIGHFIELDS,4352,QLD,,,,
HIGHGROVE,4352,QLD,,,,
IREDALE,4352,QLD,,,,
KARARA,4352,QLD,,,,
KLEINTON,4352,QLD,,,,
KULPI,4352,QLD,,,,
KURROWAH,4352,QLD,,,,
LILYVALE,4352,QLD,,,,
LYRA,4352,QLD,,,,
MACLAGAN,4352,QLD,,,,
MALLING,4352,QLD,,,,
MERINGANDAN,4352,QLD,,,,
MERINGANDAN WEST,4352,QLD,,,,
MERRITTS CREEK,4352,QLD,,,,
MOUNT LUKE,4352,QLD,,,,
MUNIGANEEN,4352,QLD,,,,
MURPHYS CREEK,4352,QLD,,,,
NARKO,4352,QLD,,,,
NORTH MACLAGAN,4352,QLD,,,,
OMAN AMA,4352,QLD,,,,
PALM TREE,4352,QLD,,,,
PAMPAS,4352,QLD,,,,
PECHEY,4352,QLD,,,,
PERANGA,4352,QLD,,,,
PERSEVERANCE,4352,QLD,,,,
POSTMANS RIDGE,4352,QLD,,,,
POZIERES,4352,QLD,,,,
PRESTON,4352,QLD,,,,
RAMSAY,4352,QLD,,,,
RANGEMORE,4352,QLD,,,,
RAVENSBOURNE,4352,QLD,,,,
SEVERNLEA,4352,QLD,,,,
SPRING BLUFF,4352,QLD,,,,
ST AUBYN,4352,QLD,,,,
THORNVILLE,4352,QLD,,,,
TOOWOOMBA MC,4352,QLD,,,,
TUMMAVILLE,4352,QLD,,,,
UMBIRAM,4352,QLD,,,,
UPPER LOCKYER,4352,QLD,,,,
WHICHELLO,4352,QLD,,,,
WHITE MOUNTAIN,4352,QLD,,,,
WITHCOTT,4352,QLD,,,,
WOODLEIGH,4352,QLD,,,,
WOOLMER,4352,QLD,,,,
WUTUL,4352,QLD,,,,
WYREEMA,4352,QLD,,,,
YALANGUR,4352,QLD,,,,
YANDILLA,4352,QLD,,,,
EAST COOYAR,4353,QLD,,,,
HADEN,4353,QLD,,,,
DOUGLAS,4354,QLD,,,,
GOOMBUNGEE,4354,QLD,,,,
CROWS NEST,4355,QLD,,,,
GLENHAVEN,4355,QLD,,,,
PIERCE CREEK,4355,QLD,,,,
THE BLUFF,4355,QLD,,,,
BONGEEN,4356,QLD,,,,
BROXBURN,4356,QLD,,,,
EVANSLEA,4356,QLD,,,,
IRONGATE,4356,QLD,,,,
KINCORA,4356,QLD,,,,
LINTHORPE,4356,QLD,,,,
MOTLEY,4356,QLD,,,,
MOUNT TYSON,4356,QLD,,,,
NORTH BRANCH,4356,QLD,,,,
NORWIN,4356,QLD,,,,
PITTSWORTH,4356,QLD,,,,
PURRAWUNDA,4356,QLD,,,,
ROSSVALE,4356,QLD,,,,
SCRUBBY MOUNTAIN,4356,QLD,,,,
SPRINGSIDE,4356,QLD,,,,
ST HELENS,4356,QLD,,,,
STONELEIGH,4356,QLD,,,,
YARRANLEA,4356,QLD,,,,
BRINGALILY,4357,QLD,,,,
BULLI CREEK,4357,QLD,,,,
CANNING CREEK,4357,QLD,,,,
CAPTAINS MOUNTAIN,4357,QLD,,,,
CLONTARF,4357,QLD,,,,
CONDAMINE FARMS,4357,QLD,,,,
CYPRESS GARDENS,4357,QLD,,,,
DOMVILLE,4357,QLD,,,,
FOREST RIDGE,4357,QLD,,,,
GRAYS GATE,4357,QLD,,,,
KOOROONGARRA,4357,QLD,,,,
LAVELLE,4357,QLD,,,,
LEMONTREE,4357,QLD,,,,
MILLMERRAN,4357,QLD,,,,
MILLMERRAN DOWNS,4357,QLD,,,,
MILLMERRAN WOODS,4357,QLD,,,,
MILLWOOD,4357,QLD,,,,
MOUNT EMLYN,4357,QLD,,,,
PUNCHS CREEK,4357,QLD,,,,
ROCKY CREEK,4357,QLD,,,,
STONEHENGE,4357,QLD,,,,
THE PINES,4357,QLD,,,,
TURALLIN,4357,QLD,,,,
WATTLE RIDGE,4357,QLD,,,,
WESTERN CREEK,4357,QLD,,,,
WOONDUL,4357,QLD,,,,
CAMBOOYA,4358,QLD,,,,
FELTON,4358,QLD,,,,
FELTON SOUTH,4358,QLD,,,,
VALE VIEW,4358,QLD,,,,
ASCOT,4359,QLD,,,,
BUDGEE,4359,QLD,,,,
GREENMOUNT,4359,QLD,,,,
GREENMOUNT EAST,4359,QLD,,,,
WEST HALDON,4359,QLD,,,,
NOBBY,4360,QLD,,,,
CLIFTON,4361,QLD,,,,
ELLANGOWAN,4361,QLD,,,,
ELPHINSTONE,4361,QLD,,,,
HEADINGTON HILL,4361,QLD,,,,
KINGS CREEK,4361,QLD,,,,
MANAPOURI,4361,QLD,,,,
MISSEN FLAT,4361,QLD,,,,
MOUNT MOLAR,4361,QLD,,,,
NEVILTON,4361,QLD,,,,
RYEFORD,4361,QLD,,,,
SANDY CAMP,4361,QLD,,,,
SPRING CREEK,4361,QLD,,,,
VICTORIA HILL,4361,QLD,,,,
ALLORA,4362,QLD,,,,
DEUCHAR,4362,QLD,,,,
GOOMBURRA,4362,QLD,,,,
MOUNT MARSHALL,4362,QLD,,,,
SOUTHBROOK,4363,QLD,,,,
BROOKSTEAD,4364,QLD,,,,
LEYBURN,4365,QLD,,,,
GLENNIE HEIGHTS,4370,QLD,,,,
MARYVALE,4370,QLD,,,,
WARWICK,4370,QLD,,,,
EMU VALE,4371,QLD,,,,
YANGAN,4371,QLD,,,,
TANNYMOREL,4372,QLD,,,,
KILLARNEY,4373,QLD,,,,
DALVEEN,4374,QLD,,,,
COTTONVALE,4375,QLD,,,,
THULIMBAH,4376,QLD,,,,
THE SUMMIT,4377,QLD,,,,
APPLETHORPE,4378,QLD,,,,
STANTHORPE,4380,QLD,,,,
GLEN APLIN,4381,QLD,,,,
BALLANDEAN,4382,QLD,,,,
WALLANGARRA,4383,QLD,,,,
LIMEVALE,4384,QLD,,,,
BEEBO,4385,QLD,,,,
BONSHAW,4385,QLD,,,,
GLENARBON,4385,QLD,,,,
MAIDENHEAD,4385,QLD,,,,
RIVERTON,4385,QLD,,,,
SILVER SPUR,4385,QLD,,,,
SMITHLEA,4385,QLD,,,,
TEXAS,4385,QLD,,,,
WATSONS CROSSING,4385,QLD,,,,
BRUSH CREEK,4387,QLD,,,,
BYBERA,4387,QLD,,,,
COOLMUNDA,4387,QLD,,,,
GREENUP,4387,QLD,,,,
INGLEWOOD,4387,QLD,,,,
MOSQUITO CREEK,4387,QLD,,,,
TERRICA,4387,QLD,,,,
WARROO,4387,QLD,,,,
WHETSTONE,4387,QLD,,,,
KURUMBUL,4388,QLD,,,,
YELARBON,4388,QLD,,,,
BILLA BILLA,4390,QLD,,,,
CALINGUNEE,4390,QLD,,,,
CALLANDOON,4390,QLD,,,,
GOODAR,4390,QLD,,,,
GOONDIWINDI,4390,QLD,,,,
KINDON,4390,QLD,,,,
LUNDAVRA,4390,QLD,,,,
WONDALLI,4390,QLD,,,,
WYAGA,4390,QLD,,,,
YAGABURNE,4390,QLD,,,,
KINGSTHORPE,4400,QLD,,,,
ACLAND,4401,QLD,,,,
BALGOWAN,4401,QLD,,,,
BOODUA,4401,QLD,,,,
DEVON PARK,4401,QLD,,,,
GREENWOOD,4401,QLD,,,,
HIGHLAND PLAINS,4401,QLD,,,,
KELVINHAUGH,4401,QLD,,,,
MOUNT IRVING,4401,QLD,,,,
MULDU,4401,QLD,,,,
OAKEY,4401,QLD,,,,
ROSALIE PLAINS,4401,QLD,,,,
SABINE,4401,QLD,,,,
SILVERLEIGH,4401,QLD,,,,
YARGULLEN,4401,QLD,,,,
COOYAR,4402,QLD,,,,
KOORALGIN,4402,QLD,,,,
BRYMAROO,4403,QLD,,,,
JONDARYAN,4403,QLD,,,,
MALU,4403,QLD,,,,
MOUNT MORIAH,4403,QLD,,,,
QUINALOW,4403,QLD,,,,
WEST PRAIRIE,4403,QLD,,,,
BOWENVILLE,4404,QLD,,,,
FORMARTIN,4404,QLD,,,,
IRVINGDALE,4404,QLD,,,,
WAINUI,4404,QLD,,,,
BUNYA MOUNTAINS,4405,QLD,,,,
DALBY,4405,QLD,,,,
GRASSDALE,4405,QLD,,,,
TIPTON,4405,QLD,,,,
BOONDANDILLA,4406,QLD,,,,
HANNAFORD,4406,QLD,,,,
JIMBOUR,4406,QLD,,,,
KAIMKILLENBUN,4406,QLD,,,,
KOGAN,4406,QLD,,,,
MACALISTER,4406,QLD,,,,
MOONIE,4406,QLD,,,,
THE GUMS,4406,QLD,,,,
WEIR RIVER,4406,QLD,,,,
CATTLE CREEK,4407,QLD,,,,
CECIL PLAINS,4407,QLD,,,,
DUNMORE,4407,QLD,,,,
NANGWEE,4407,QLD,,,,
BELL,4408,QLD,,,,
COORANGA NORTH,4408,QLD,,,,
JANDOWAE,4410,QLD,,,,
WARRA,4411,QLD,,,,
BRIGALOW,4412,QLD,,,,
CHINCHILLA,4413,QLD,,,,
HOPELAND,4413,QLD,,,,
WIEAMBILLA,4413,QLD,,,,
GURULMUNDI,4415,QLD,,,,
HOOKSWOOD,4415,QLD,,,,
KOWGURAN,4415,QLD,,,,
MILES,4415,QLD,,,,
MYALL PARK,4415,QLD,,,,
PELHAM,4415,QLD,,,,
BARRAMORNIE,4416,QLD,,,,
CONDAMINE,4416,QLD,,,,
MORABY,4416,QLD,,,,
NANGRAM,4416,QLD,,,,
PINE HILLS,4416,QLD,,,,
SUNNYSIDE,4416,QLD,,,,
YULABILLA,4416,QLD,,,,
SURAT,4417,QLD,,,,
GULUGUBA,4418,QLD,,,,
COCKATOO,4419,QLD,,,,
GROSMONT,4419,QLD,,,,
WANDOAN,4419,QLD,,,,
BROADMERE,4420,QLD,,,,
COORADA,4420,QLD,,,,
GHINGHINDA,4420,QLD,,,,
GLENHAUGHTON,4420,QLD,,,,
GWAMBEGWINE,4420,QLD,,,,
HORNET BANK,4420,QLD,,,,
PEEK-A-DOO,4420,QLD,,,,
SPRING CREEK,4420,QLD,,,,
TAROOM,4420,QLD,,,,
GORANBA,4421,QLD,,,,
TARA,4421,QLD,,,,
MEANDARRA,4422,QLD,,,,
COOMRITH,4423,QLD,,,,
GLENMORGAN,4423,QLD,,,,
DRILLHAM,4424,QLD,,,,
DRILLHAM SOUTH,4424,QLD,,,,
GLENAUBYN,4424,QLD,,,,
DULACCA,4425,QLD,,,,
JACKSON,4426,QLD,,,,
JACKSON NORTH,4426,QLD,,,,
JACKSON SOUTH,4426,QLD,,,,
CLIFFORD,4427,QLD,,,,
YULEBA,4427,QLD,,,,
YULEBA NORTH,4427,QLD,,,,
YULEBA SOUTH,4427,QLD,,,,
PICKANJINNIE,4428,QLD,,,,
WALLUMBILLA,4428,QLD,,,,
WALLUMBILLA NORTH,4428,QLD,,,,
WALLUMBILLA SOUTH,4428,QLD,,,,
INJUNE,4454,QLD,,,,
ANGELLALA,4455,QLD,,,,
ROMA,4455,QLD,,,,
MUCKADILLA,4461,QLD,,,,
AMBY,4462,QLD,,,,
MITCHELL,4465,QLD,,,,
MUNGALLALA,4467,QLD,,,,
MORVEN,4468,QLD,,,,
CHARLEVILLE,4470,QLD,,,,
CLAVERTON,4471,QLD,,,,
BLACKALL,4472,QLD,,,,
MOUNT ENNISKILLEN,4472,QLD,,,,
ADAVALE,4474,QLD,,,,
CHEEPIE,4475,QLD,,,,
AUGATHELLA,4477,QLD,,,,
BAYRICK,4478,QLD,,,,
CALDERVALE,4478,QLD,,,,
LANSDOWNE,4478,QLD,,,,
LUMEAH,4478,QLD,,,,
MACFARLANE,4478,QLD,,,,
MINNIE DOWNS,4478,QLD,,,,
SCRUBBY CREEK,4478,QLD,,,,
TAMBO,4478,QLD,,,,
WINDEYER,4478,QLD,,,,
YANDARLO,4478,QLD,,,,
COOLADDI,4479,QLD,,,,
EROMANGA,4480,QLD,,,,
QUILPIE,4480,QLD,,,,
TANBAR,4481,QLD,,,,
WINDORAH,4481,QLD,,,,
BIRDSVILLE,4482,QLD,,,,
DIRRANBANDI,4486,QLD,,,,
HEBEL,4486,QLD,,,,
ST GEORGE,4487,QLD,,,,
BOLLON,4488,QLD,,,,
NEBINE,4488,QLD,,,,
WYANDRA,4489,QLD,,,,
BARRINGUN,4490,QLD,,,,
COONGOOLA,4490,QLD,,,,
CUNNAMULLA,4490,QLD,,,,
CUTTABURRA,4490,QLD,,,,
HUMEBURN,4490,QLD,,,,
JOBS GATE,4490,QLD,,,,
LINDEN,4490,QLD,,,,
NOORAMA,4490,QLD,,,,
TUEN,4490,QLD,,,,
WIDGEEGOARA,4490,QLD,,,,
YOWAH,4490,QLD,,,,
EULO,4491,QLD,,,,
THARGOMINDAH,4492,QLD,,,,
HUNGERFORD,4493,QLD,,,,
BUNGUNYA,4494,QLD,,,,
NORTH BUNGUNYA,4494,QLD,,,,
TARAWERA,4494,QLD,,,,
NORTH TALWOOD,4496,QLD,,,,
SOUTH TALWOOD,4496,QLD,,,,
TALWOOD,4496,QLD,,,,
DAYMAR,4497,QLD,,,,
THALLON,4497,QLD,,,,
WEENGALLON,4497,QLD,,,,
KIOMA,4498,QLD,,,,
TOOBEAH,4498,QLD,,,,
BRAY PARK,4500,QLD,,,,
BRENDALE,4500,QLD,,,,
CASHMERE,4500,QLD,,,,
CLEAR MOUNTAIN,4500,QLD,,,,
JOYNER,4500,QLD,,,,
STRATHPINE,4500,QLD,,,,
WARNER,4500,QLD,,,,
LAWNTON,4501,QLD,,,,
PETRIE,4502,QLD,,,,
DAKABIN,4503,QLD,,,,
GRIFFIN,4503,QLD,,,,
KALLANGUR,4503,QLD,,,,
KURWONGBAH,4503,QLD,,,,
MURRUMBA DOWNS,4503,QLD,,,,
WHITESIDE,4503,QLD,,,,
NARANGBA,4504,QLD,,,,
BURPENGARY,4505,QLD,,,,
MOORINA,4506,QLD,,,,
MORAYFIELD,4506,QLD,,,,
BANKSIA BEACH,4507,QLD,,,,
BELLARA,4507,QLD,,,,
BONGAREE,4507,QLD,,,,
BRIBIE ISLAND,4507,QLD,,,,
BRIBIE ISLAND DC,4507,QLD,,,,
BRIBIE ISLAND NORTH,4507,QLD,,,,
WELSBY,4507,QLD,,,,
WHITE PATCH,4507,QLD,,,,
WOORIM,4507,QLD,,,,
DECEPTION BAY,4508,QLD,,,,
MANGO HILL,4509,QLD,,,,
BEACHMERE,4510,QLD,,,,
CABOOLTURE,4510,QLD,,,,
DONNYBROOK,4510,QLD,,,,
TOORBUL,4510,QLD,,,,
GODWIN BEACH,4511,QLD,,,,
NINGI,4511,QLD,,,,
SANDSTONE POINT,4511,QLD,,,,
TOORBUL POINT,4511,QLD,,,,
WAMURAN,4512,QLD,,,,
"DAGUILAR,QLD,,WOODFORD LPO,430,Q1,36,NORTHGATE",4514,,,,,
STONY CREEK,4514,QLD,,,,
WOODFORD,4514,QLD,,,,
